symbol,name,sector,price,position_pct,rsi,rating,tech_score,market_cap,pe_ttm,pe_fwd,rev_growth,profit_margin,roe,debt_to_eq,vwap_60,vwap_120,premium_60vwap,up_vol_vs_down,cmf_20,obv_60d,vol_trend_pct,chip_status,institutional,inst_score
NRG,"NRG Energy, Inc.",Utilities,131.01,2.9,31.0,A+,5,27641335808,143.96703,11.470442,0.195,0.00738,0.062480003,479.237,157.34,157.07,-16.73,0.89,-0.322,-0.26,13.6,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
VST,Vistra Corp.,Utilities,141.57,4.0,36.6,A+,5,47733235712,23.673077,12.5504,0.434,0.11525,0.42898,355.187,159.54,161.84,-11.27,0.85,-0.286,-0.037,-8.1,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
SMR,NuScale Power Corporation,Industrials,12.31,7.1,51.1,A+,5,4262292736,,-20.101526,-0.958,0.0,-0.8305,0.512,11.98,15.07,2.81,1.08,0.104,-1.92,25.6,成本附近震荡,➖ 量价中性,0
STEM,"Stem, Inc.",Utilities,8.97,11.6,40.1,A+,5,80299088,,-1.5425168,-0.108,0.94162005,,,10.52,14.2,-14.78,1.24,-0.049,-0.07,-50.3,深套(price < 60d VWAP -5%),➖ 量价中性,0
EXE,Expand Energy Corporation,Energy,95.03,13.8,38.4,A+,5,22732722176,7.070313,9.651706,0.41,0.24906999,0.17568001,25.883,103.57,106.24,-8.26,1.11,0.012,-1.603,9.3,深套(price < 60d VWAP -5%),➖ 量价中性,0
CEG,Constellation Energy Corporation,Utilities,275.87,19.5,38.2,A+,5,99641499648,23.967854,20.321331,0.638,0.12693,0.16104999,66.428,301.39,309.02,-8.47,1.03,-0.118,-0.785,6.0,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
PEG,Public Service Enterprise Group Incorporated,Utilities,76.65,19.5,37.5,A+,5,38194843648,16.957302,16.320374,0.194,0.17688,0.13441,141.01,81.65,80.64,-6.13,1.08,-0.044,-0.128,-1.5,深套(price < 60d VWAP -5%),➖ 量价中性,0
OKLO,Oklo Inc.,Utilities,71.13,25.5,52.9,A,4,12371266560,,-77.6652,,0.0,-0.12236,0.098,64.56,76.98,10.18,0.98,0.008,0.102,-28.9,套利盘多(price > 60d VWAP +5%),➖ 量价中性,0
